Vehículo analizado,Abolladuras,Puerta fuera de perfil,Fuera de secuencia,Piezas con rebabas,Piezas desordenadas,Otras
225,0,0,1,0,1,6
226,1,0,4,1,2,0
227,4,0,0,0,1,1
228,0,0,0,0,2,0
229,0,2,0,0,0,1
230,0,0,0,2,4,4
231,0,0,0,0,4,3
232,0,2,0,0,2,5
233,0,0,0,0,0,4
234,0,0,0,1,0,0
235,0,2,0,0,0,2
236,0,0,0,4,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,1,0,3,4
240,0,0,0,2,1,0
241,0,0,0,3,0,4
242,0,2,0,0,0,5
243,0,0,0,0,0,4
244,1,0,0,0,3,0
245,2,0,0,2,0,5
246,0,0,0,2,1,0
247,0,0,0,0,5,4
248,0,0,3,5,0,1
249,0,0,0,2,1,2
250,0,0,0,0,0,0
251,0,0,0,0,2,0
252,2,0,0,0,2,0
253,0,0,0,4,0,0
254,3,0,0,0,0,2
255,0,0,0,1,6,0
256,0,0,1,0,0,4
257,0,0,1,0,1,1
258,0,0,0,0,0,7
259,0,0,0,1,0,0
260,0,0,0,0,0,0
261,0,0,1,0,0,0
262,0,0,0,0,0,2
263,0,0,1,0,1,0
264,0,0,0,0,0,0
265,0,0,0,0,0,4
266,0,0,0,4,0,3
267,0,0,0,0,4,0
268,0,0,0,4,0,0
269,0,0,0,4,0,0
270,0,0,0,0,5,2
271,0,2,0,2,5,0
272,5,0,0,2,0,0
273,0,0,4,0,2,0
274,0,0,0,3,2,0
275,0,0,0,4,1,0
276,0,0,0,0,1,0
277,0,0,0,1,0,2
278,0,2,0,0,0,4
279,0,0,0,0,0,0
280,0,0,1,2,0,4
281,0,0,0,0,0,0
282,0,0,0,0,0,4
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,0,0,0,0,0,1
286,5,1,0,0,0,4
287,0,0,0,0,0,0
288,0,0,0,0,3,0
289,0,0,4,0,5,1
290,4,4,0,0,0,0
291,0,0,0,0,1,0
292,0,0,0,0,7,0
293,0,1,0,4,0,0
294,4,0,0,0,1,0
295,0,0,0,0,0,5
296,0,2,1,2,0,0
297,0,0,0,0,2,0
298,0,0,0,1,4,1
299,0,0,1,2,1,0
300,0,0,2,0,0,3
301,0,0,0,0,1,0
302,0,0,0,0,2,1
303,0,2,0,0,4,4
304,0,0,0,2,0,0
305,2,2,5,5,3,0
306,0,0,0,0,4,0
307,0,0,0,0,7,0
308,2,0,2,0,0,5
309,0,1,0,0,0,0
310,0,0,0,1,0,1
311,3,2,0,5,0,0
