Longitud,Diametros,Y1,Y2,Y3
L1,D1,60.2,0.91,2.8
L1,D1,60.1,0.85,2.7
L1,D2,60.3,0.7,2.35
L1,D2,59.4,0.65,2.34
L1,D3,70,0.9,3.6
L1,D3,68.9,0.85,3.5
L2,D1,90,1.2,5.1
L2,D1,91,1.3,5
L2,D2,100,1.6,7.3
L2,D2,99,1.5,7.2
L2,D3,100,2.1,7.45
L2,D3,98,2.2,7.5
